,x,y,channel,board
0,0,0,CSC25,IB1
1,400,0,CSC21,IB1
2,800,0,CSC14,IB1
3,1200,0,CSC8,IB1
4,1600,0,CSC2,IB1
5,2000,0,CSC63,IB2
6,2400,0,CSC57,IB2
7,2800,0,CSC51,IB2
8,3200,0,CSC44,IB2
9,3600,0,CSC40,IB2
10,0,400,CSC31,IB1
11,400,400,CSC28,IB1
12,800,400,CSC20,IB1
13,1200,400,CSC13,IB1
14,1600,400,CSC7,IB1
15,2000,400,CSC58,IB2
16,2400,400,CSC52,IB2
17,2800,400,CSC45,IB2
18,3200,400,CSC37,IB2
19,3600,400,CSC34,IB2
20,0,800,CSC29,IB1
21,400,800,CSC22,IB1
22,800,800,CSC15,IB1
23,1200,800,CSC10,IB1
24,1600,800,CSC3,IB1
25,2000,800,CSC62,IB2
26,2400,800,CSC55,IB2
27,2800,800,CSC50,IB2
28,3200,800,CSC43,IB2
29,3600,800,CSC36,IB2
30,0,1200,CSC30,IB1
31,400,1200,CSC32,IB1
32,800,1200,CSC19,IB1
33,1200,1200,CSC12,IB1
34,1600,1200,CSC6,IB1
35,2000,1200,CSC59,IB2
36,2400,1200,CSC53,IB2
37,2800,1200,CSC46,IB2
38,3200,1200,CSC33,IB2
39,3600,1200,CSC35,IB2
40,0,1600,CSC26,IB1
41,400,1600,CSC24,IB1
42,800,1600,CSC16,IB1
43,1200,1600,CSC9,IB1
44,1600,1600,CSC4,IB1
45,2000,1600,CSC61,IB2
46,2400,1600,CSC56,IB2
47,2800,1600,CSC49,IB2
48,3200,1600,CSC41,IB2
49,3600,1600,CSC39,IB2
50,0,2000,CSC27,IB1
51,400,2000,CSC23,IB1
52,800,2000,CSC18,IB1
53,1200,2000,CSC11,IB1
54,1600,2000,CSC5,IB1
55,2000,2000,CSC60,IB2
56,2400,2000,CSC54,IB2
57,2800,2000,CSC47,IB2
58,3200,2000,CSC42,IB2
59,3600,2000,CSC38,IB2
